ppg,timer
2693381,10:48:36.057
2696821,10:48:36.156
2692759,10:48:36.268
2692542,10:48:36.357
2695066,10:48:36.457
2697427,10:48:36.558
2700380,10:48:36.657
2703691,10:48:36.758
2706609,10:48:36.858
2701486,10:48:36.959
2700593,10:48:37.058
2703773,10:48:37.159
2706428,10:48:37.274
2709631,10:48:37.359
2715395,10:48:37.459
2717534,10:48:37.558
2711315,10:48:37.658
2709632,10:48:37.758
2711613,10:48:37.859
2714397,10:48:37.958
2717912,10:48:38.058
2719409,10:48:38.158
2719441,10:48:38.259
2712939,10:48:38.360
2712366,10:48:38.459
2716133,10:48:38.562
2716643,10:48:38.659
2719565,10:48:38.760
2723137,10:48:38.859
2717493,10:48:38.960
2713212,10:48:39.059
2711274,10:48:39.160
2713506,10:48:39.260
2711600,10:48:39.360
2715764,10:48:39.460
2717672,10:48:39.561
2711735,10:48:39.660
2704462,10:48:39.761
2702544,10:48:39.861
2705764,10:48:39.960
2702976,10:48:40.061
2700441,10:48:40.162
2698206,10:48:40.262
2685498,10:48:40.362
2679354,10:48:40.462
2678465,10:48:40.562
2676901,10:48:40.662
2675987,10:48:40.763
2676745,10:48:40.863
2670091,10:48:40.963
2659770,10:48:41.063
2656441,10:48:41.163
2656106,10:48:41.263
2656082,10:48:41.363
2657795,10:48:41.462
2660344,10:48:41.562
2651565,10:48:41.663
2645142,10:48:41.763
2645336,10:48:41.863
2646599,10:48:41.963
2648307,10:48:42.063
2651659,10:48:42.163
2652378,10:48:42.264
2645005,10:48:42.364
2643890,10:48:42.465
2645957,10:48:42.565
2647661,10:48:42.664
2650586,10:48:42.764
2654987,10:48:42.865
2651125,10:48:42.964
2646249,10:48:43.065
2647375,10:48:43.165
2649585,10:48:43.266
2652100,10:48:43.366
2656055,10:48:43.467
2659688,10:48:43.566
2653682,10:48:43.666
2651160,10:48:43.767
2653141,10:48:43.868
2655266,10:48:43.967
2658156,10:48:44.067
2662374,10:48:44.167
2663381,10:48:44.267
2657873,10:48:44.368
2658260,10:48:44.468
2661200,10:48:44.568
2663358,10:48:44.668
2666369,10:48:44.768
2670673,10:48:44.868
2667163,10:48:44.969
2663501,10:48:45.068
2665107,10:48:45.169
2667200,10:48:45.274
2669383,10:48:45.369
