ppg,timer
1858349,10:56:44
1858328,10:56:44
1858379,10:56:44
1858330,10:56:45
1858335,10:56:45
1858404,10:56:45
1858363,10:56:45
1858327,10:56:45
1858401,10:56:45
1858335,10:56:45
1858384,10:56:45
1858393,10:56:45
1858404,10:56:45
1858354,10:56:46
1858299,10:56:46
1858458,10:56:46
1858312,10:56:46
1858387,10:56:46
1858385,10:56:46
1858388,10:56:46
1858422,10:56:46
1858474,10:56:46
1858322,10:56:46
1858318,10:56:47
1858288,10:56:47
1858439,10:56:47
1858292,10:56:47
1858396,10:56:47
1858325,10:56:47
1858424,10:56:47
1858285,10:56:47
1858363,10:56:47
1858357,10:56:47
1858349,10:56:48
1858303,10:56:48
1858409,10:56:48
1858291,10:56:48
1858329,10:56:48
1858356,10:56:48
1858452,10:56:48
1858396,10:56:48
1858436,10:56:48
1858360,10:56:48
1858379,10:56:49
1858327,10:56:49
1858388,10:56:49
1858330,10:56:49
1858323,10:56:49
1858383,10:56:49
1858360,10:56:49
1858371,10:56:49
1858402,10:56:49
1858310,10:56:49
1858413,10:56:50
1858296,10:56:50
1858370,10:56:50
1858374,10:56:50
1858365,10:56:50
1858372,10:56:50
1858327,10:56:50
1858343,10:56:50
1858380,10:56:50
1858290,10:56:50
1858378,10:56:51
1858401,10:56:51
1858339,10:56:51
1858321,10:56:51
1858331,10:56:51
1858331,10:56:51
1858407,10:56:51
1858469,10:56:51
1858328,10:56:51
1858311,10:56:51
1858346,10:56:52
1858399,10:56:52
1858302,10:56:52
1858417,10:56:52
1858378,10:56:52
1858403,10:56:52
1858301,10:56:52
1858388,10:56:52
1858373,10:56:52
1858431,10:56:52
1858380,10:56:53
1858447,10:56:53
1858430,10:56:53
1858292,10:56:53
1858450,10:56:53
1858436,10:56:53
1858374,10:56:53
1858282,10:56:53
1858450,10:56:53
1858299,10:56:53
1858304,10:56:54
1858413,10:56:54
1858410,10:56:54
1858308,10:56:54
1858360,10:56:54
1858337,10:56:54
1858345,10:56:54
1858336,10:56:54
1858414,10:56:54
1858286,10:56:54
1858310,10:56:55
1858466,10:56:55
1858384,10:56:55
1858447,10:56:55
1858353,10:56:55
1858336,10:56:55
1858295,10:56:55
1858410,10:56:55
1858279,10:56:55
1858377,10:56:55
1858325,10:56:56
1858400,10:56:56
1858372,10:56:56
1858369,10:56:56
1858418,10:56:56
1858368,10:56:56
1858325,10:56:56
1858389,10:56:56
1858328,10:56:56
1858311,10:56:56
1858412,10:56:57
1858398,10:56:57
1858437,10:56:57
1858335,10:56:57
1858453,10:56:57
1858434,10:56:57
1858380,10:56:57
1858417,10:56:57
1858382,10:56:57
1858305,10:56:57
1858395,10:56:58
1858434,10:56:58
1858445,10:56:58
1858334,10:56:58
1858408,10:56:58
1858320,10:56:58
